Participant ID,1_PANAS_qn0,1_PANAS_qn1,1_PANAS_qn2,1_PANAS_qn3,1_PANAS_qn4,1_PANAS_qn5,1_PANAS_qn6,1_PANAS_qn7,1_PANAS_qn8,1_PANAS_qn9,2_PANAS_qn10,2_PANAS_qn11,2_PANAS_qn12,2_PANAS_qn13,2_PANAS_qn14,2_PANAS_qn15,2_PANAS_qn16,2_PANAS_qn17,2_PANAS_qn18,2_PANAS_qn19,2_PANAS_qn20
172,A little (2),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Extremely (5),Very slightly or not at all (1) ,Moderately (3),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,A little (2),Very slightly or not at all (1) ,A little (2),A little (2),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,A little (2),A little (2),Very slightly or not at all (1) ,A little (2),Very slightly or not at all (1) 
273,Moderately (3),A little (2),A little (2),Extremely (5),Very slightly or not at all (1) ,A little (2),Very slightly or not at all (1) ,A little (2),Very slightly or not at all (1) ,Moderately (3),Very slightly or not at all (1) ,A little (2),Moderately (3),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Moderately (3),A little (2),Quite a bit (4),A little (2),A little (2),A little (2)
230,A little (2),A little (2),Very slightly or not at all (1) ,Extremely (5),A little (2),Moderately (3),Very slightly or not at all (1) ,A little (2),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Moderately (3),A little (2),Quite a bit (4),Very slightly or not at all (1) ,Very slightly or not at all (1) ,A little (2),Quite a bit (4),Moderately (3),A little (2),Moderately (3),A little (2)
101,Quite a bit (4),A little (2),Moderately (3),Extremely (5),Very slightly or not at all (1) ,Moderately (3),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,A little (2),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Quite a bit (4),Very slightly or not at all (1) ,Very slightly or not at all (1) ,A little (2),Very slightly or not at all (1) ,Moderately (3),Moderately (3),Quite a bit (4),Very slightly or not at all (1) 
119,Quite a bit (4),Very slightly or not at all (1) ,Quite a bit (4),Extremely (5),Very slightly or not at all (1) ,Quite a bit (4),A little (2),A little (2),A little (2),Quite a bit (4),Quite a bit (4),Very slightly or not at all (1) ,Quite a bit (4),A little (2),Quite a bit (4),Very slightly or not at all (1) ,Moderately (3),Quite a bit (4),Very slightly or not at all (1) ,Extremely (5),A little (2)
228,A little (2),A little (2),A little (2),Extremely (5),A little (2),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Moderately (3),Very slightly or not at all (1) ,A little (2),Very slightly or not at all (1) ,Very slightly or not at all (1) ,A little (2),Very slightly or not at all (1) ,A little (2),Moderately (3),A little (2),A little (2),A little (2),Very slightly or not at all (1) ,A little (2)
107,Moderately (3),A little (2),Very slightly or not at all (1) ,Extremely (5),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,A little (2),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,Moderately (3),Very slightly or not at all (1) ,A little (2),A little (2),Very slightly or not at all (1) ,A little (2),Very slightly or not at all (1) 
213,A little (2),Very slightly or not at all (1) ,A little (2),Extremely (5),Very slightly or not at all (1) ,Moderately (3),Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,Very slightly or not at all (1) ,Moderately (3),Very slightly or not at all (1) ,A little (2),Very slightly or not at all (1) ,A little (2),Very slightly or not at all (1) ,A little (2),Moderately (3),Very slightly or not at all (1) ,A little (2),Very slightly or not at all (1) 
26,Quite a bit (4),A little (2),Moderately (3),Extremely (5),Very slightly or not at all (1) ,A little (2),Moderately (3),A little (2),Very slightly or not at all (1) ,Quite a bit (4),Moderately (3),Quite a bit (4),Quite a bit (4),A little (2),A little (2),A little (2),A little (2),Quite a bit (4),Moderately (3),A little (2),Very slightly or not at all (1) 
329,Quite a bit (4),A little (2),A little (2),Extremely (5),Very slightly or not at all (1) ,A little (2),A little (2),A little (2),Very slightly or not at all (1) ,Moderately (3),A little (2),A little (2),Moderately (3),Moderately (3),A little (2),Quite a bit (4),A little (2),Moderately (3),A little (2),A little (2),A little (2)
