PID,ParticipantID,nfriends
5ec5a705a9b68d5f1f482ce5,30050,2.0
5a2e04c5c7ed3b0001823507,30051,3.0
645f2a337fcb0360de02c8cd,30052,1.0
60c119b30aa5205b493541b6,30053,2.0
66340711e5f27c15e5fabf85,30054,4.0
60ad4325e23286e1191e31aa,30055,6.0
60cb15ad659c0a7534094bd5,30056,5.0
657a89e6927fca5ef1da0e82,30057,0.0
5ca9106716aa84001725d880,30058,20.0
5df52b8476f4503b36b0d45e,30059,6.0
661849a65cba8b07213ca8e0,30060,
60fd3817531ef8b336731984,30061,8.0
62d140d43079cdd60f42d39e,30062,3.0
63d04d54715f377d4ee643d8,30063,3.0
60ff109e2a8d5d4b4a835630,30064,3.0
6613eb35147102a25e30a190,30065,5.0
610708c5efbf18e4295facc3,30066,6.0
62b38acba8916f148c3b8098,30067,0.0
64012975c4251a860b518c8b,30068,3.0
5c9a03e39de0ed0001388d06,30069,2.0
587bf1a6e556c1000129e7bd,30070,3.0
5f1c4b819fb17507b94ea713,30071,2.0
6287745dd285a8be832879dc,30072,1.0
5fea486eeed16da38175ba44,30073,6.0
62c82d6d2a2f32bb8389dc30,30074,0.0
644164d75b4cbe61ff891e64,30075,6.0
587955cda205a90001e7f889,30076,0.0
65a5920088672d869713f267,30077,3.0
5d87a74208667b0001eff922,30078,5.0
663c853743d67a3002d6e83e,30079,5.0
5f53b958c8cfea6e2104c5b6,30080,2.0
59aa9242a372d6000157ed4e,30081,
6635438496e6686eb5170977,30082,2.0
662fa386df34bf7b4b42b39d,30083,3.0
66409560ad936cfe4f1438fd,30084,3.0
6021c4832fdecb24a70f4746,30085,3.0
66151b57090a8ba8ec454009,30086,3.0
60e5868307d715a4d1445116,30087,4.0
663032f971fff2cdf666195b,30088,4.0
5e132349b199e49599de669e,30089,0.0
5994c52989d01e0001aea32f,30090,3.0
5e4886f1da7b943284265869,30091,5.0
5e75f33ed1dff815407f73c6,30092,2.0
63ea85f2e1c8032a3121a505,30093,4.0
66237ff21aafc787e2b746ff,30094,4.0
6647c6138ad0a72e618533d0,30095,2.0
63ced2f25eb7beb158c802d5,30096,3.0
663a3e2c4bb152b9e2334f3e,30097,7.0
65fb70d4e69155a62d58ac90,30098,5.0
6154c1748e0de2c3afdab62c,30099,3.0
658636796fa6fd9a376944f5,30100,7.0
62e059c52d5f20c728f508d8,30101,3.0
63ce8e557f1649202fdb045f,30102,3.0
6304b7a752adde130e57bddf,30103,8.0
663d68e807640657499d183b,30104,4.0
5af2f6c0c36b060001f80163,30105,3.0
610898813e48dc2864965122,30106,1.0
5d7b89d48fb7ce00018112ea,30107,20.0
5d08c65a6bf345001a52f4b1,30108,3.0
6372639e99b4b50efc9eb4a6,30109,4.0
62a8e8d53d81e31a0c0331d3,30110,3.0
5fb835372b02f05267811822,30111,3.0
656623a1111c091f8f999bc5,30112,2.0
6074b929f753216d88c77e88,30113,2.0
663abe859bcc3ea8ef9bbdf3,30114,3.0
6617d376619a2b4541498f2c,30115,3.0
655f8edb8b128e01321fbf88,30116,3.0
60c3ba02dfcf64dbe7ae0396,30117,5.0
65fe204f412cca0170fd8f50,30118,0.0
66099d3fa3579e4e79fa013c,30119,4.0
63b80a8b220f924d975670bc,30120,2.0
660d96d07d38af114036538a,30121,4.0
663a804cc32965801bab129f,30122,5.0
663cbad24a06fd12596337a5,30123,7.0
5db5e92f734a26000b470dde,30124,0.0
5ba0c90d2ff2f900019396b7,30125,1.0
663c18b624172c32a8dbb066,30126,
5f0889eaeff16b0b1a12f565,30127,1.0
57bfc1beef05670001ee84c2,30128,3.0
5f40ed58fceca2234d44f3bf,30129,2.0
66156aabdcdb913c19d3d43f,30130,3.0
66472f7ef4c54862f0cc44e0,30131,3.0
63bd11a2cbebd7e39b126938,30132,2.0
66320c3fd918f178605a74f8,30133,13.0
5b5f23420085cb0001872849,30134,2.0
5fed47cfcb429d79af4f8ded,30135,3.0
6648a8037ce304073173938a,30136,2.0
6631946e4f43db45004ae20e,30137,2.0
663653e5923836444d951e43,30138,3.0
65ddafc7c55910335cfa962d,30139,2.0
664ce5c7969975237f0e8ffa,30140,2.0
663200f99991108a0c4dcb23,30141,2.0
659c028fe586fe8875cab8fb,30142,4.0
63d432e27555fb4b5785cfcd,30143,5.0
5bb0cc738f3bd70001e513e3,30144,2.0
5c485ca68133a40001bad6c3,30145,3.0
65fb5f438050e2495c957083,30146,
5ec3de7a21dd590667039a0b,30147,7.0
663791040de5898120ca93cd,30148,3.0
60bec2aeb32067ea868876ec,30149,5.0
5d979a7705d4d60017b154c6,30150,4.0
66452f8e6f5cff92c469b400,30151,7.0
65fd9f5adfdfd71d92463671,30152,5.0
66116329fca98e8641c2483e,30153,3.0
5e453c5cb1a5c9000db105da,30154,2.0
65ad47397526e114408593b4,30155,4.0
632ceafce1ba9fd51c9de424,30156,15.0
663de1024ee41aba82ff7da5,30157,2.0
664b4f18f9e6ba4fff639b4c,30158,6.0
6619a46e2a432f1c797265db,30159,4.0
63eab29693a6eb7fd0174010,30160,1.0
6449b6ac80df4eb6727b570c,30161,3.0
56d39b96da2aaa000dab6178,30162,3.0
60fc66d97941f40870f6e303,30163,2.0
663043f63dbecb9fd3c400e8,30164,3.0
663eb80facfdb0135f471626,30165,3.0
63f226e602d56e2ab3623b2f,30166,3.0
660ee9b478309bf1643a9637,30167,8.0
634688daf4776ef459edf673,30168,2.0
5f50732850c7c600098593df,30169,2.0
5d63f1c316b801001a4c4423,30170,5.0
628e3b1df14fee48e3b118b8,30171,3.0
5f1088e27a43fe0c64ca5814,30172,4.0
56818073c5767f00121d21c5,30173,3.0
5f6cec03d1db331246dc8d1b,30174,5.0
5ec1e646a5533962b5c16fc1,30175,5.0
6234e1fa06407542a9efdd0e,30176,3.0
605116da9a3b2d13a44665a0,30177,2.0
63e51ff21f93dcf52c112028,30178,2.0
6310b388f01e898d69b5866e,30179,6.0
5e716ca3bea4de092aebb04e,30180,10.0
5c0fbbd0818591000150daa1,30181,15.0
663cdf516e385e420f653aca,30182,
57d2edf35e9bc90001f76b06,30183,3.0
663a8b8e17d2b317029bf1c6,30184,7.0
5f3c1349262f9fa0b39470c3,30185,3.0
